testName,rawScore,execTime,timestamp
0000.txt,3107.00,11,2025-02-06 23:20:12
0001.txt,3099.00,12,2025-02-06 23:20:12
0002.txt,3088.00,17,2025-02-06 23:20:13
0003.txt,3112.00,9,2025-02-06 23:20:13
0004.txt,3098.00,11,2025-02-06 23:20:13
0005.txt,3096.00,10,2025-02-06 23:20:13
0006.txt,3090.00,10,2025-02-06 23:20:13
0007.txt,3101.00,9,2025-02-06 23:20:13
0008.txt,3099.00,9,2025-02-06 23:20:13
0009.txt,3109.00,8,2025-02-06 23:20:13
0010.txt,3104.00,13,2025-02-06 23:20:13
0011.txt,3105.00,12,2025-02-06 23:20:13
0012.txt,3103.00,11,2025-02-06 23:20:14
0013.txt,3098.00,11,2025-02-06 23:20:14
0014.txt,3101.00,12,2025-02-06 23:20:14
0015.txt,3093.00,12,2025-02-06 23:20:14
0016.txt,3088.00,13,2025-02-06 23:20:14
0017.txt,3104.00,10,2025-02-06 23:20:14
0018.txt,3105.00,9,2025-02-06 23:20:14
0019.txt,3094.00,11,2025-02-06 23:20:14
0020.txt,3100.00,12,2025-02-06 23:20:14
0021.txt,3097.00,12,2025-02-06 23:20:15
0022.txt,3103.00,9,2025-02-06 23:20:15
0023.txt,3091.00,13,2025-02-06 23:20:15
0024.txt,3108.00,9,2025-02-06 23:20:15
0025.txt,3104.00,13,2025-02-06 23:20:15
0026.txt,3091.00,11,2025-02-06 23:20:15
0027.txt,3082.00,15,2025-02-06 23:20:15
0028.txt,3108.00,13,2025-02-06 23:20:15
0029.txt,3105.00,8,2025-02-06 23:20:15
0030.txt,3103.00,9,2025-02-06 23:20:15
0031.txt,3107.00,12,2025-02-06 23:20:16
0032.txt,3093.00,12,2025-02-06 23:20:16
0033.txt,3101.00,12,2025-02-06 23:20:16
0034.txt,3103.00,13,2025-02-06 23:20:16
0035.txt,3092.00,14,2025-02-06 23:20:16
0036.txt,3097.00,10,2025-02-06 23:20:16
0037.txt,3101.00,17,2025-02-06 23:20:16
0038.txt,3106.00,11,2025-02-06 23:20:16
0039.txt,3106.00,9,2025-02-06 23:20:16
0040.txt,3092.00,10,2025-02-06 23:20:17
0041.txt,3103.00,13,2025-02-06 23:20:17
0042.txt,3106.00,9,2025-02-06 23:20:17
0043.txt,3101.00,13,2025-02-06 23:20:17
0044.txt,3107.00,15,2025-02-06 23:20:17
0045.txt,3105.00,12,2025-02-06 23:20:17
0046.txt,3105.00,13,2025-02-06 23:20:17
0047.txt,3113.00,9,2025-02-06 23:20:17
0048.txt,3089.00,11,2025-02-06 23:20:17
0049.txt,3089.00,20,2025-02-06 23:20:17
0050.txt,3112.00,12,2025-02-06 23:20:18
0051.txt,3107.00,12,2025-02-06 23:20:18
0052.txt,3082.00,9,2025-02-06 23:20:18
0053.txt,3097.00,8,2025-02-06 23:20:18
0054.txt,3107.00,8,2025-02-06 23:20:18
0055.txt,3099.00,8,2025-02-06 23:20:18
0056.txt,3099.00,8,2025-02-06 23:20:18
0057.txt,3103.00,8,2025-02-06 23:20:18
0058.txt,3096.00,8,2025-02-06 23:20:18
0059.txt,3096.00,9,2025-02-06 23:20:18
0060.txt,3084.00,13,2025-02-06 23:20:18
0061.txt,3092.00,9,2025-02-06 23:20:19
0062.txt,3094.00,18,2025-02-06 23:20:19
0063.txt,3108.00,12,2025-02-06 23:20:19
0064.txt,3094.00,9,2025-02-06 23:20:19
0065.txt,3098.00,8,2025-02-06 23:20:19
0066.txt,3107.00,8,2025-02-06 23:20:19
0067.txt,3090.00,10,2025-02-06 23:20:19
0068.txt,3108.00,8,2025-02-06 23:20:19
0069.txt,3091.00,9,2025-02-06 23:20:19
0070.txt,3095.00,9,2025-02-06 23:20:19
0071.txt,3095.00,8,2025-02-06 23:20:19
0072.txt,3107.00,8,2025-02-06 23:20:20
0073.txt,3099.00,14,2025-02-06 23:20:20
0074.txt,3103.00,8,2025-02-06 23:20:20
0075.txt,3108.00,7,2025-02-06 23:20:20
0076.txt,3095.00,17,2025-02-06 23:20:20
0077.txt,3101.00,8,2025-02-06 23:20:20
0078.txt,3097.00,8,2025-02-06 23:20:20
0079.txt,3092.00,15,2025-02-06 23:20:20
0080.txt,3110.00,7,2025-02-06 23:20:20
0081.txt,3107.00,12,2025-02-06 23:20:20
0082.txt,3092.00,9,2025-02-06 23:20:20
0083.txt,3102.00,8,2025-02-06 23:20:20
0084.txt,3103.00,8,2025-02-06 23:20:21
0085.txt,3110.00,7,2025-02-06 23:20:21
0086.txt,3101.00,8,2025-02-06 23:20:21
0087.txt,3106.00,8,2025-02-06 23:20:21
0088.txt,3091.00,9,2025-02-06 23:20:21
0089.txt,3107.00,8,2025-02-06 23:20:21
0090.txt,3102.00,8,2025-02-06 23:20:21
0091.txt,3101.00,9,2025-02-06 23:20:21
0092.txt,3103.00,8,2025-02-06 23:20:21
0093.txt,3100.00,8,2025-02-06 23:20:21
0094.txt,3111.00,7,2025-02-06 23:20:21
0095.txt,3095.00,10,2025-02-06 23:20:22
0096.txt,3110.00,10,2025-02-06 23:20:22
0097.txt,3087.00,9,2025-02-06 23:20:22
0098.txt,3098.00,8,2025-02-06 23:20:22
0099.txt,3096.00,9,2025-02-06 23:20:22
