testName,rawScore,execTime,timestamp
0000.txt,3112.00,1342,2025-02-12 22:31:17
0001.txt,3105.00,1362,2025-02-12 22:31:19
0002.txt,3109.00,1280,2025-02-12 22:31:21
0003.txt,3119.00,1312,2025-02-12 22:31:22
0004.txt,3109.00,1846,2025-02-12 22:31:24
0005.txt,3107.00,1452,2025-02-12 22:31:26
0006.txt,3105.00,1457,2025-02-12 22:31:27
0007.txt,3116.00,1410,2025-02-12 22:31:29
0008.txt,3113.00,1317,2025-02-12 22:31:30
0009.txt,3118.00,1238,2025-02-12 22:31:32
0010.txt,3116.00,1258,2025-02-12 22:31:33
0011.txt,3107.00,1435,2025-02-12 22:31:35
0012.txt,3116.00,1176,2025-02-12 22:31:36
0013.txt,3115.00,1300,2025-02-12 22:31:37
0014.txt,3110.00,1577,2025-02-12 22:31:39
0015.txt,3106.00,1302,2025-02-12 22:31:40
0016.txt,3117.00,1354,2025-02-12 22:31:42
0017.txt,3124.00,1095,2025-02-12 22:31:43
0018.txt,3119.00,1230,2025-02-12 22:31:45
0019.txt,3117.00,1246,2025-02-12 22:31:46
0020.txt,3116.00,1165,2025-02-12 22:31:47
0021.txt,3119.00,1267,2025-02-12 22:31:49
0022.txt,3114.00,1262,2025-02-12 22:31:50
0023.txt,3112.00,1539,2025-02-12 22:31:51
0024.txt,3117.00,1946,2025-02-12 22:31:53
0025.txt,3112.00,2154,2025-02-12 22:31:55
0026.txt,3104.00,2413,2025-02-12 22:31:58
0027.txt,3111.00,1612,2025-02-12 22:32:00
0028.txt,3121.00,1471,2025-02-12 22:32:02
0029.txt,3117.00,1247,2025-02-12 22:32:04
0030.txt,3116.00,1222,2025-02-12 22:32:05
0031.txt,3123.00,1273,2025-02-12 22:32:06
0032.txt,3111.00,1803,2025-02-12 22:32:08
0033.txt,3112.00,1506,2025-02-12 22:32:10
0034.txt,3117.00,1240,2025-02-12 22:32:11
0035.txt,3100.00,1826,2025-02-12 22:32:13
0036.txt,3112.00,1410,2025-02-12 22:32:15
0037.txt,3110.00,1327,2025-02-12 22:32:16
0038.txt,3112.00,1296,2025-02-12 22:32:18
0039.txt,3114.00,1280,2025-02-12 22:32:19
0040.txt,3110.00,1345,2025-02-12 22:32:20
0041.txt,3111.00,1347,2025-02-12 22:32:22
0042.txt,3115.00,1881,2025-02-12 22:32:23
0043.txt,3114.00,1446,2025-02-12 22:32:25
0044.txt,3118.00,1565,2025-02-12 22:32:27
0045.txt,3117.00,1338,2025-02-12 22:32:29
0046.txt,3114.00,1294,2025-02-12 22:32:30
0047.txt,3125.00,1127,2025-02-12 22:32:32
0048.txt,3107.00,1496,2025-02-12 22:32:33
0049.txt,3103.00,1546,2025-02-12 22:32:34
0050.txt,3122.00,1215,2025-02-12 22:32:36
0051.txt,3117.00,1246,2025-02-12 22:32:37
0052.txt,3098.00,1986,2025-02-12 22:32:39
0053.txt,3105.00,1482,2025-02-12 22:32:41
0054.txt,3121.00,1241,2025-02-12 22:32:42
0055.txt,3108.00,1518,2025-02-12 22:32:44
0056.txt,3112.00,1227,2025-02-12 22:32:46
0057.txt,3124.00,1167,2025-02-12 22:32:47
0058.txt,3110.00,1442,2025-02-12 22:32:48
0059.txt,3115.00,1327,2025-02-12 22:32:50
0060.txt,3107.00,1482,2025-02-12 22:32:51
0061.txt,3108.00,2037,2025-02-12 22:32:53
0062.txt,3113.00,2055,2025-02-12 22:32:55
0063.txt,3117.00,1638,2025-02-12 22:32:57
0064.txt,3106.00,1518,2025-02-12 22:32:59
0065.txt,3111.00,1667,2025-02-12 22:33:01
0066.txt,3108.00,1547,2025-02-12 22:33:03
0067.txt,3102.00,1702,2025-02-12 22:33:04
0068.txt,3112.00,1423,2025-02-12 22:33:06
0069.txt,3116.00,1400,2025-02-12 22:33:08
0070.txt,3113.00,1586,2025-02-12 22:33:09
0071.txt,3111.00,1182,2025-02-12 22:33:11
0072.txt,3111.00,1810,2025-02-12 22:33:12
0073.txt,3102.00,1464,2025-02-12 22:33:14
0074.txt,3115.00,1271,2025-02-12 22:33:16
0075.txt,3118.00,1287,2025-02-12 22:33:17
0076.txt,3106.00,1498,2025-02-12 22:33:19
0077.txt,3123.00,1143,2025-02-12 22:33:20
0078.txt,3108.00,1362,2025-02-12 22:33:21
0079.txt,3112.00,1505,2025-02-12 22:33:23
0080.txt,3115.00,1458,2025-02-12 22:33:25
0081.txt,3118.00,1157,2025-02-12 22:33:26
0082.txt,3111.00,1500,2025-02-12 22:33:27
0083.txt,3117.00,1249,2025-02-12 22:33:29
0084.txt,3114.00,1311,2025-02-12 22:33:30
0085.txt,3118.00,1346,2025-02-12 22:33:32
0086.txt,3118.00,1294,2025-02-12 22:33:33
0087.txt,3114.00,1238,2025-02-12 22:33:35
0088.txt,3106.00,1366,2025-02-12 22:33:36
0089.txt,3120.00,1153,2025-02-12 22:33:38
0090.txt,3116.00,1733,2025-02-12 22:33:39
0091.txt,3122.00,1118,2025-02-12 22:33:41
0092.txt,3121.00,1256,2025-02-12 22:33:42
0093.txt,3113.00,1443,2025-02-12 22:33:43
0094.txt,3113.00,1315,2025-02-12 22:33:45
0095.txt,3109.00,1412,2025-02-12 22:33:46
0096.txt,3119.00,1345,2025-02-12 22:33:48
0097.txt,3104.00,1374,2025-02-12 22:33:49
0098.txt,3107.00,1481,2025-02-12 22:33:51
0099.txt,3114.00,1361,2025-02-12 22:33:52
